SNP,Chr,Pos,Effect,SE,RET2_SNA3_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
2143,4,636391,0.0051093472028415,0.095641821045862,0.95742614745944,YDR095C,YDR095C,SGDID:S000002502,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
2144,4,636810,-0.0291993323906711,0.0952312003809833,0.759317067996385,YDR093W,DNF2,SGDID:S000002500,Close to 3'-UTR,Close to 3'-UTR,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF2 has a paralog ; DNF1 ; that arose from the whole genome duplication""",Verified ORF
2145,4,636879,-0.0133171939291336,0.0952897993341053,0.888933537200947,YDR093W,DNF2,SGDID:S000002500,Close to 3'-UTR,Close to 3'-UTR,"""Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation ; contributing to endocytosis ; protein transport ; and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF2 has a paralog ; DNF1 ; that arose from the whole genome duplication""",Verified ORF
2147,4,638340,0.0068368524733232,0.0960243584079062,0.943279579763269,YDR096W,GIS1,SGDID:S000002503,CDS,CDS,"""Histone demethylase and transcription factor; regulates genes during nutrient limitation; activity modulated by proteasome-mediated proteolysis; has JmjC and JmjN domain in N-terminus that interact ; promoting stability and proper transcriptional activity; contains two transactivating domains downstream of Jmj domains and a C-terminal DNA binding domain; relocalizes to the cytosol in response to hypoxia; GIS1 has a paralog ; RPH1 ; that arose from the whole genome duplication""",Verified ORF
2148,4,639037,-0.0393697519959824,0.0959572170474124,0.681846214245336,YDR096W,GIS1,SGDID:S000002503,CDS,CDS,"""Histone demethylase and transcription factor; regulates genes during nutrient limitation; activity modulated by proteasome-mediated proteolysis; has JmjC and JmjN domain in N-terminus that interact ; promoting stability and proper transcriptional activity; contains two transactivating domains downstream of Jmj domains and a C-terminal DNA binding domain; relocalizes to the cytosol in response to hypoxia; GIS1 has a paralog ; RPH1 ; that arose from the whole genome duplication""",Verified ORF
2149,4,641585,-0.0368502608299065,0.0952028929923347,0.698937035952923,YDR097C,MSH6,SGDID:S000002504,CDS,CDS,"""Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p""",Verified ORF
2150,4,641978,-0.0238337880113221,0.0949410503623855,0.801930983138159,YDR097C,MSH6,SGDID:S000002504,CDS,CDS,"""Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p""",Verified ORF
2151,4,642192,-0.0093397548373923,0.0950513980829643,0.921781572885443,YDR097C,MSH6,SGDID:S000002504,CDS,CDS,"""Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p""",Verified ORF
2152,4,643795,-0.0301325228246841,0.0950207977748613,0.751343793780653,YDR097C,MSH6,SGDID:S000002504,CDS,CDS,"""Protein required for mismatch repair in mitosis and meiosis; forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; also involved in interstrand cross-link repair; potentially phosphorylated by Cdc28p; contains PIP motif that binds PCNA (Pol30p) and Rev1p""",Verified ORF
2153,4,644586,-0.0216430093622034,0.0946463355970589,0.819255925666416,YDR098C,GRX3,SGDID:S000002505,CDS,CDS,"""Glutathione-dependent oxidoreductase; hydroperoxide and superoxide-radical responsive monothiol glutaredoxin subfamily member with Grx4p and Grx5p; redundantly protects cells from oxidative damage along with GRX4 and GRX5; with Grx4p ; promotes the dissociation of Aft1p from iron regulon gene promoters and subsequent nuclear export in iron-replete conditions ; regulating iron homeostasis; involved with Grx4p in the deglutathionylation of Sir2p ; restoring deacetylase activity after disulfide stress""",Verified ORF
2154,4,645245,-0.037455241937047,0.0944161057679237,0.691825504229713,tQ(UUG)D2_NFR/NDR,,,Promoter,Promoter,,Promoter
2157,4,657631,-0.0920508605810253,0.0944720118564035,0.330539205316292,YDR103W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2158,4,660338,-0.0837511663341995,0.0950609688511827,0.37890330919916,YDR103W,STE5,SGDID:S000002510,CDS,CDS,"""Pheromone-responsive MAPK scaffold protein; couples activation of the G-protein-coupled pheromone receptor to MAPK activation; intramolecular interaction of PH and VWA domains blocks activation of assembled signaling cascade components (Ste11p ; Ste7p and Fus3p) under basal conditions; Gbeta-gamma (Ste4p-Ste18p)-dependent docking at the plasma membrane and binding of PI(4,5)P2 by the PH domain relieves autoinhibition ; resulting in pheromone-dependent pathway activation""",Verified ORF
2159,4,663656,-0.0594024521538814,0.0944985899868819,0.530013056502993,YDR104C,SPO71,SGDID:S000002511,CDS,CDS,"""Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM ; aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains""",Verified ORF
2160,4,664068,-0.10861377130148,0.096662757417914,0.261930960687198,YDR104C,SPO71,SGDID:S000002511,CDS,CDS,"""Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM ; aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains""",Verified ORF
2161,4,664414,-0.110154333172733,0.09514669786183,0.247756336387227,YDR104C,SPO71,SGDID:S000002511,CDS,CDS,"""Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM ; aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains""",Verified ORF
2162,4,664456,-0.0853878191959417,0.0953240706707792,0.370989527568064,YDR104C,SPO71,SGDID:S000002511,CDS,CDS,"""Meiosis-specific protein required for prospore membrane morphogenesis; localizes to the prospore membrane (PSM) during sporulation; required for PSM elongation and closure; genetically antagonistic to SPO1; recruits Vps13p to the PSM during sporulation; interacts and functions cooperatively with Spo73p; mutants have defects in the PSM ; aberrant spore wall formation and reduced PtdIns-phosphate pools in the PSM; contains three PH-like domains""",Verified ORF
2163,4,665001,-0.0885879315135729,0.0954876782542497,0.354175303086975,YDR104C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2166,4,667986,-0.0470853604332991,0.0953088943364273,0.62159294402275,YDRWsigma2_NFR/NDR,,,Promoter,Promoter,,Promoter
2167,4,667994,-0.0185175109398572,0.0954939563082175,0.846355612043888,YDRWsigma2_NFR/NDR,,,Promoter,Promoter,,Promoter
2168,4,668101,-0.0198865417420513,0.0946073882984068,0.833632285313876,YDRWsigma2,YDRWsigma2,SGDID:S000006856,Other features,LTR,"""Ty3 LTR""",long_terminal_repeat
2169,4,668118,-0.0752947597842807,0.095138726879801,0.429229968926367,YDRWsigma2,YDRWsigma2,SGDID:S000006856,Other features,LTR,"""Ty3 LTR""",long_terminal_repeat
2177,4,671424,-0.0484115931902768,0.0948489814882402,0.610085298917484,YDR108W,TRS85,SGDID:S000002515,CDS,CDS,"""Component of transport protein particle (TRAPP) complex III; TRAPPIII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating endosome-Golgi traffic and required for membrane expansion during autophagy and the CVT pathway; directs Ypt1p to the PAS; late post-replication meiotic role""",Verified ORF
2179,4,672752,-0.0645582723574487,0.0964697910745266,0.50380079089865,YDR108W,TRS85,SGDID:S000002515,CDS,CDS,"""Component of transport protein particle (TRAPP) complex III; TRAPPIII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating endosome-Golgi traffic and required for membrane expansion during autophagy and the CVT pathway; directs Ypt1p to the PAS; late post-replication meiotic role""",Verified ORF
2180,4,672865,-0.0345059036511546,0.0951730683710298,0.717150913235055,YDR108W,TRS85,SGDID:S000002515,CDS,CDS,"""Component of transport protein particle (TRAPP) complex III; TRAPPIII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating endosome-Golgi traffic and required for membrane expansion during autophagy and the CVT pathway; directs Ypt1p to the PAS; late post-replication meiotic role""",Verified ORF
2181,4,673119,-0.02418184368562,0.0972055158728781,0.803683150512924,YDR108W,TRS85,SGDID:S000002515,CDS,CDS,"""Component of transport protein particle (TRAPP) complex III; TRAPPIII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p ; regulating endosome-Golgi traffic and required for membrane expansion during autophagy and the CVT pathway; directs Ypt1p to the PAS; late post-replication meiotic role""",Verified ORF
2182,4,674432,-0.0036493395977317,0.0960872611658657,0.969725550126284,YDR109C,YDR109C,SGDID:S000002516,CDS,CDS,"""D-ribulokinase; carbohydrate kinase that specifically converts D-ribulose to D-ribulose 5-phosphate during pentose metabolism; null mutant accumulates D-ribulose and the precursor ribitol; proposed to function as a D-ribulose metabolic repair enzyme; member of the FGGY family of carbohydrate kinases; human homolog ; FGGY ; is involved in both D-ribulose and ribitol metabolism; human FGGY has been linked to both sporadic amyotrophic lateral sclerosis and bipolar disorder""",Verified ORF
2183,4,675810,-0.0568935468785771,0.0953169318647742,0.550964685269585,YDR109C,YDR109C,SGDID:S000002516,Close to 3'-UTR,Close to 3'-UTR,"""D-ribulokinase; carbohydrate kinase that specifically converts D-ribulose to D-ribulose 5-phosphate during pentose metabolism; null mutant accumulates D-ribulose and the precursor ribitol; proposed to function as a D-ribulose metabolic repair enzyme; member of the FGGY family of carbohydrate kinases; human homolog ; FGGY ; is involved in both D-ribulose and ribitol metabolism; human FGGY has been linked to both sporadic amyotrophic lateral sclerosis and bipolar disorder""",Verified ORF
2184,4,675982,-0.0508735481065608,0.0958317013109193,0.595847230901257,YDR110W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
2185,4,677658,-0.0139972852035131,0.0959874497081228,0.884143469548532,YDR110W,FOB1,SGDID:S000002517,CDS,CDS,"""Nucleolar protein that binds the rDNA replication fork barrier site; required for replication fork blocking ; recombinational hotspot activity ; condensin recruitment to replication fork barrier (RFB) ; and rDNA repeat segregation; related to retroviral integrases""",Verified ORF
2187,4,679438,-0.0452360738574309,0.0946159144095754,0.632873431054225,YDR111C,ALT2,SGDID:S000002518,CDS,CDS,"""Catalytically inactive alanine transaminase; expression is repressed in the presence of alanine and repression is mediated by Nrg1p; ALT2 has a paralog ; ALT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
2188,4,679624,-0.0299834088828929,0.0949750552443467,0.752418517859678,YDR111C,ALT2,SGDID:S000002518,CDS,CDS,"""Catalytically inactive alanine transaminase; expression is repressed in the presence of alanine and repression is mediated by Nrg1p; ALT2 has a paralog ; ALT1 ; that arose from the whole genome duplication""",Uncharacterized ORF
2189,4,680423,-0.0327504384757543,0.0950780838926372,0.730706742213514,SUT058,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
2190,4,680477,-0.0047159940266262,0.0949774367432102,0.960426327547606,XUT_4F-328,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2191,4,680490,-0.0084376582931073,0.0968344262877179,0.930613688573594,XUT_4F-328,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
2192,4,681327,-0.0262488833018695,0.0955829069022266,0.783769606530939,YDR113C,PDS1,SGDID:S000002520,CDS,CDS,"""Securin; inhibits anaphase by binding separin Esp1p; blocks cyclin destruction and mitotic exit ; essential for meiotic progression and mitotic cell cycle arrest; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation""",Verified ORF
2193,4,681488,-0.0054990887418338,0.0953251693186838,0.954030040243354,YDR113C,PDS1,SGDID:S000002520,CDS,CDS,"""Securin; inhibits anaphase by binding separin Esp1p; blocks cyclin destruction and mitotic exit ; essential for meiotic progression and mitotic cell cycle arrest; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation""",Verified ORF
2195,4,682178,-0.0476601125131548,0.0958922132859108,0.619486079068422,YDR114C,YDR114C,SGDID:S000002521,CDS,CDS,"""Putative protein of unknown function; deletion mutant exhibits poor growth at elevated pH and calcium""",Uncharacterized ORF
2196,4,687169,-0.0718326238713449,0.0958873562293288,0.454274434150738,YDR118W,APC4,SGDID:S000002525,CDS,CDS,"""Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors ; including mitotic cyclins ; during the metaphase/anaphase transition; component of the platform domain of the APC/C ; based on structural analysis; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
